Title,Author,ISBN Valid,Publisher,Subjects,i,Subjects_fine
Classification décimale universelle : édition abrégée /,,9782871303336; 2871303339,Ed du CEFAL,reference books,0,book classification; classification decimale universelle; classification decimale universelle tables; indexation documentation; outline; reference books
Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe /,Francine Cicurel,9782278058327; 2278058320,Didier,didactique; didactique francais langue enseignement etudes diverses,1,didactique langue enseignement; didactique langue etrangere enseignement
Histoire de vie et recherche biographique : perspectives sociohistoriques /,,2343190194; 9782343190198,L'Harmattan,actes de congres; histoires de vie; sciences sociales methodologie,2,actes de congres; histoires de vie en sociologie; sciences sociales methodologie
"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme /",Sylvain Mazas,9782365350020; 236535002X; 9782365350488; 2365350488,Vraoum!,bandes dessinees; bandes dessinees biographiques; moyenorient,3,bandes dessinees; bandes dessinees autobiographiques; moyenorient
Les années glorieuses : roman /,Pierre Lemaitre,9782702180815; 2702180817; 9782702183618; 2702183611,Calmann-Lévy,france; litterature francaise; roman francais; roman historique,4,france; litterature francaise; roman francais; roman historique
100 idées pour mieux gérer les troubles de l'attention /,Francine Lussier,9782353450428; 2353450423,Tom Pousse,enfants atteints de troubles de lattention; enfants hyperactifs; guides pratiques; trouble deficitaire de lattention avec ou sans hyperactivite,5,enfants atteints de troubles de lattention; enfants hyperactifs; guides pratiques; trouble deficitaire de lattention avec ou sans hyperactivite
La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast /,Fabienne Bouchut,9782100806614; 2100806610; 9782100846023; 2100846027,Dunod,animateurs de formation; formateurs education des adultes; formation du personnel; guides pratiques,6,animateurs de formation; formateurs education des adultes formation; guides pratiques; personnel formation
L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer /,Bruno Robbes,9782710121152; 2710121158,ESF éd,education religieuse enseignement primaire; relations maitreeleve,7,autorite enseignement primaire; autorite relation maitreeleve
Un autre regard sur le climat /,Emma dessinatrice....,9791097160821,Massot,bandes dessinees; changements climatiques,8,bandes dessinees; climat deterioration
Le mirage de la croissance verte /,Anthony Auffret,9782413043591; 2413043594,Delcourt,bandes dessinees; developpement economique aspect environnemental,9,bandes dessinees; developpement durable aspect environnemental; developpement economique aspect environnemental
Vieille fille : une proposition /,Marie Kock,9782348072765; 2348072769,La Découverte,femmes; jeunes; recits personnels; sexualite; sociologie; veuves,10,celibataires; femmes; jeunes femmes; recits personnels; sexualite; sociologie
Rendre les élèves acteurs de leurs apprentissages /,Yves Béal,9782206013725; 220601372X,Delagrave,apprentissage psychologie ecole eleve motivation; enfants psychologie,11,apprentissage psychologie didactique eleve enseignement; apprentissage psychologie enfant
